band_1_b,band_2_g,band_3_r,band_4_rd,band_5_nir,band_6_lwir,SAVI,NDVI,VARI,ExG,NDRE,Date,class,lon,lat,Source_File,pad,ID,grid_id,gx,gy,folder,B,G,R,RE,NIR
1454,2733,2630,5787,10970,31098,0.41722251822066614,0.6132352926401107,0.0263494497663293,0.20272847196083227,0.3093035740206923,July,grass,-85.18773839,30.87443944,pad3_grass_gps.csv,pad3,1,gx_8_gy_5,8,5,testing,0.04437255859375,0.083404541015625,0.08026123046875,0.176605224609375,0.33477783203125
1286,2902,2307,5545,11106,31319,0.4429472760843543,0.6560053663240152,0.15166963931432303,0.34041570267055554,0.33397393484213217,July,grass,-85.18768443,30.87559806,pad6_grass_gps.csv,pad6,2,gx_9_gy_11,9,11,training,0.03924560546875,0.08856201171875,0.070404052734375,0.169219970703125,0.33892822265625
1767,3689,2768,7494,14978,31068,0.5366246698627566,0.6880423744761764,0.1963752651524894,0.34569552391442715,0.3330366673677045,July,grass,-85.18672645,30.87341941,pad1_grass_gps.csv,pad1,3,gx_18_gy_0,18,0,testing,0.053924560546875,0.112579345703125,0.08447265625,0.22869873046875,0.45709228515625
1820,3411,2442,6274,13302,31304,0.5070343620326662,0.6897865839302002,0.240267788774338,0.333637428524354,0.35901103331814094,July,grass,-85.18737448,30.87398055,pad2_grass_gps.csv,pad2,4,gx_12_gy_3,12,3,testing,0.0555419921875,0.104095458984375,0.07452392578125,0.19146728515625,0.40594482421875
1695,3203,2389,6379,13595,31282,0.5193091937402149,0.701076074638835,0.20887862282665262,0.31864964862885814,0.3612696499530348,July,grass,-85.18684726,30.87412297,pad2_grass_gps.csv,pad2,5,gx_17_gy_4,17,4,training,0.051727294921875,0.097747802734375,0.072906494140625,0.194671630859375,0.414886474609375
1887,3795,2690,7384,15417,31177,0.5534922148346864,0.7028773389831621,0.24032187736518762,0.3598901084815003,0.35230910874328036,July,grass,-85.18660663,30.87653232,pad8_grass_gps.csv,pad8,6,gx_19_gy_16,19,16,training,0.057586669921875,0.115814208984375,0.08209228515625,0.225341796875,0.470489501953125
1288,2950,2283,6234,13312,31313,0.5173238682588053,0.7072138491071508,0.16907477679588281,0.3571538089705236,0.3621201262731018,July,grass,-85.18751427,30.87620923,pad7_grass_gps.csv,pad7,7,gx_10_gy_14,10,14,testing,0.039306640625,0.09002685546875,0.069671630859375,0.19024658203125,0.40625
1675,3438,2428,6851,14286,31191,0.5374040722215947,0.7094651176709493,0.24099260131308864,0.3677231120475334,0.3517528499065034,July,grass,-85.18669505,30.87661381,pad8_grass_gps.csv,pad8,8,gx_18_gy_16,18,16,training,0.051116943359375,0.10491943359375,0.0740966796875,0.209075927734375,0.43597412109375
1221,2021,1617,4540,9922,31166,0.44613759214199633,0.7197330770791044,0.16714935644304918,0.24778760894844531,0.3721476965707,July,grass,-85.18727205,30.8758628,pad6_grass_gps.csv,pad6,9,gx_13_gy_12,13,12,training,0.037261962890625,0.061676025390625,0.049346923828125,0.1385498046875,0.30279541015625
1597,3340,2115,6901,13640,31303,0.5378978805306376,0.7315138036197877,0.317522029444126,0.4208735091050506,0.3280755556813018,July,grass,-85.18829619,30.87677545,pad8_grass_gps.csv,pad8,10,gx_3_gy_17,3,17,testing,0.048736572265625,0.1019287109375,0.064544677734375,0.210601806640625,0.416259765625
1335,3243,1863,6168,12792,31179,0.5281581230933121,0.7457523013007975,0.3659506730332878,0.5104797365739171,0.3493670880037943,July,grass,-85.18694763,30.87616235,pad7_grass_gps.csv,pad7,11,gx_16_gy_14,16,14,testing,0.040740966796875,0.098968505859375,0.056854248046875,0.188232421875,0.390380859375
1536,3459,2073,6554,14607,31131,0.5686244852820987,0.7514388474446554,0.34684684400263327,0.4681663815307193,0.38055857414724525,July,grass,-85.18725158,30.87711091,pad9_grass_gps.csv,pad9,12,gx_13_gy_18,13,18,training,0.046875,0.105560302734375,0.063262939453125,0.20001220703125,0.445770263671875
1409,3458,2022,6511,14251,31225,0.5617019316408167,0.751490196975061,0.3527388819556503,0.5058789350302452,0.37279645447376003,July,grass,-85.18730096,30.87609594,pad7_grass_gps.csv,pad7,13,gx_12_gy_13,12,13,training,0.042999267578125,0.10552978515625,0.06170654296875,0.198699951171875,0.434906005859375
1729,3919,2325,7715,16537,31259,0.6048345905969692,0.7534725890844137,0.3530454016459376,0.47460177906035983,0.36376381280225084,July,grass,-85.18685138,30.87472718,pad4_grass_gps.csv,pad4,14,gx_17_gy_7,17,7,training,0.052764892578125,0.119598388671875,0.070953369140625,0.235443115234375,0.504669189453125
1770,3879,2239,8060,16576,31272,0.610969061052296,0.7619984042004165,0.3771849097609027,0.47527890269093065,0.34567299840367705,July,grass,-85.18717703,30.87485222,pad4_grass_gps.csv,pad4,15,gx_14_gy_7,14,7,training,0.05401611328125,0.118377685546875,0.068328857421875,0.2459716796875,0.505859375
1252,3211,1630,5933,12581,31237,0.5369014539109924,0.7706002374744192,0.4405126736041462,0.5809945808242196,0.3590796147906276,July,grass,-85.18690626,30.87603038,pad7_grass_gps.csv,pad7,16,gx_16_gy_13,16,13,training,0.0382080078125,0.097991943359375,0.04974365234375,0.181060791015625,0.383941650390625
1117,2414,1537,4973,12169,30954,0.5300099695125502,0.7757186615045418,0.3094565948693459,0.42896605878919497,0.41978765524701894,July,grass,-85.18842682,30.87345744,pad1_grass_gps.csv,pad1,17,gx_2_gy_1,2,1,testing,0.034088134765625,0.07366943359375,0.046905517578125,0.151763916015625,0.371368408203125
1139,2894,1489,5565,12170,31030,0.5332856233573644,0.781975252535049,0.4331072705943098,0.5722564254343177,0.3724274027514124,July,grass,-85.18795344,30.87540887,pad5_grass_gps.csv,pad5,18,gx_6_gy_10,6,10,training,0.034759521484375,0.08831787109375,0.045440673828125,0.169830322265625,0.37139892578125
1466,3427,1912,6817,15648,31329,0.6069997637317297,0.7822323447817661,0.3911696326315914,0.5108008792449783,0.3931003777929618,July,grass,-85.18670998,30.87480448,pad4_grass_gps.csv,pad4,19,gx_18_gy_7,18,7,training,0.04473876953125,0.104583740234375,0.058349609375,0.208038330078125,0.4775390625
1509,3282,1990,6716,16361,31238,0.6205988190489194,0.7831180848094811,0.34334307434210315,0.4519982281653034,0.41794860624451446,July,grass,-85.18683612,30.87644213,pad8_grass_gps.csv,pad8,20,gx_17_gy_15,17,15,training,0.046051025390625,0.10015869140625,0.06072998046875,0.2049560546875,0.499298095703125
1619,3868,1922,7543,15871,31268,0.6122099651794805,0.7839599828197156,0.4665547793603292,0.5662032637935823,0.3556846326276982,July,grass,-85.1871176,30.87620455,pad7_grass_gps.csv,pad7,21,gx_14_gy_14,14,14,training,0.049407958984375,0.1180419921875,0.05865478515625,0.230194091796875,0.484344482421875
1043,2666,1427,5105,12316,31040,0.5421548770947877,0.7923306391644407,0.40622950383235135,0.5572429870989606,0.41392572105140246,July,grass,-85.18700651,30.87592876,pad6_grass_gps.csv,pad6,22,gx_15_gy_13,15,13,training,0.031829833984375,0.08135986328125,0.043548583984375,0.155792236328125,0.3758544921875
1084,2973,1499,5816,13015,31047,0.5590653110777575,0.7934408139727526,0.4350649308570816,0.6052915731039966,0.38229515094646876,July,grass,-85.18800395,30.87564959,pad6_grass_gps.csv,pad6,23,gx_6_gy_11,6,11,training,0.0330810546875,0.090728759765625,0.045745849609375,0.177490234375,0.397186279296875
1913,3907,2227,7645,19424,31240,0.6782042849422006,0.7942820181041508,0.3980099471589695,0.4565676631091326,0.4351472158462114,July,grass,-85.18696402,30.87469444,pad4_grass_gps.csv,pad4,24,gx_16_gy_7,16,7,training,0.058380126953125,0.119232177734375,0.067962646484375,0.233306884765625,0.5927734375
1344,3042,1680,5760,14677,31291,0.5954460761885227,0.7945833572148372,0.40319715417052565,0.5044510358506673,0.43631648410739254,July,grass,-85.18656966,30.87652782,pad8_grass_gps.csv,pad8,25,gx_19_gy_16,19,16,training,0.041015625,0.09283447265625,0.05126953125,0.17578125,0.447906494140625
1452,4016,1877,7633,16683,31039,0.6355597521512699,0.7977370675570987,0.481648273861146,0.6402995206288177,0.3721829243216117,July,grass,-85.18677163,30.87588221,pad6_grass_gps.csv,pad6,26,gx_18_gy_12,18,12,testing,0.0443115234375,0.12255859375,0.057281494140625,0.232940673828125,0.509124755859375
1034,2938,1487,6005,13220,30953,0.5660641337188,0.7977833666864917,0.427897371270616,0.6145814214803803,0.37529258713666647,July,grass,-85.18669496,30.87584963,pad6_grass_gps.csv,pad6,27,gx_18_gy_12,18,12,testing,0.03155517578125,0.08966064453125,0.045379638671875,0.183258056640625,0.4034423828125
1649,4198,2023,8342,18060,31223,0.6596511908954548,0.7985360739846422,0.4757217813673554,0.6002541271068452,0.368078175438937,July,grass,-85.1868101,30.87614008,pad7_grass_gps.csv,pad7,28,gx_17_gy_14,17,14,training,0.050323486328125,0.12811279296875,0.061737060546875,0.25457763671875,0.5511474609375
1254,3216,1586,6400,14235,31322,0.5891476472813169,0.799506982731923,0.4594137499847605,0.5931307761830071,0.379694692879,July,grass,-85.18681789,30.87668385,pad8_grass_gps.csv,pad8,29,gx_17_gy_16,17,16,training,0.03826904296875,0.09814453125,0.04840087890625,0.1953125,0.434417724609375
1345,3243,1807,6438,16381,31216,0.6323325228300279,0.8012975573863582,0.38758434205118386,0.5213447979541161,0.4357333794522937,July,grass,-85.18686547,30.8739235,pad2_grass_gps.csv,pad2,30,gx_17_gy_3,17,3,training,0.041046142578125,0.098968505859375,0.055145263671875,0.19647216796875,0.499908447265625
940,2339,1290,5054,12107,31048,0.5448272382440852,0.8074195695709842,0.39010784202935894,0.5357846317451103,0.4109900347609509,July,grass,-85.18810216,30.87577835,pad6_grass_gps.csv,pad6,31,gx_5_gy_12,5,12,training,0.0286865234375,0.071380615234375,0.03936767578125,0.15423583984375,0.369476318359375
1383,3226,1824,6329,17510,31185,0.6587434900726327,0.8113168497680133,0.38232887577634234,0.5044302787922942,0.46902135092206504,July,grass,-85.18760569,30.87379231,pad2_grass_gps.csv,pad2,32,gx_10_gy_2,10,2,training,0.042205810546875,0.09844970703125,0.0556640625,0.193145751953125,0.53436279296875
1175,2964,1530,6040,14712,31161,0.6060503886514111,0.8115995550674489,0.43205784448397966,0.5685306017587561,0.4178874318767668,July,grass,-85.18706504,30.87607827,pad7_grass_gps.csv,pad7,33,gx_15_gy_13,15,13,training,0.035858154296875,0.0904541015625,0.04669189453125,0.184326171875,0.448974609375
1230,3325,1522,6457,14876,31216,0.6110365438343467,0.8143676041782414,0.4984793983040716,0.6414349150866318,0.39464679074992803,July,grass,-85.18687136,30.87573777,pad6_grass_gps.csv,pad6,34,gx_17_gy_12,17,12,training,0.03753662109375,0.101470947265625,0.04644775390625,0.197052001953125,0.4539794921875
934,2691,1342,5315,13172,31154,0.574309016155772,0.8150750980633608,0.43530170562634196,0.6253271551256855,0.42500135154830726,July,grass,-85.1873789,30.8758591,pad6_grass_gps.csv,pad6,35,gx_12_gy_12,12,12,training,0.02850341796875,0.082122802734375,0.04095458984375,0.162200927734375,0.4019775390625
1265,3328,1530,6495,15277,31333,0.6212678129505678,0.8179330025107379,0.500417473866496,0.6305732450330518,0.40336211587280135,July,grass,-85.18723555,30.87638428,pad7_grass_gps.csv,pad7,36,gx_13_gy_15,13,15,training,0.038604736328125,0.1015625,0.04669189453125,0.198211669921875,0.466217041015625
1595,4222,1782,7825,17822,31500,0.6685561847863941,0.8182003659043671,0.5534134683297227,0.666798260054001,0.38979217792440796,July,grass,-85.18672587,30.87713721,pad9_grass_gps.csv,pad9,37,gx_18_gy_19,18,19,training,0.048675537109375,0.12884521484375,0.05438232421875,0.238800048828125,0.54388427734375
1214,3209,1546,6607,15631,31277,0.6295253413000719,0.819991848002009,0.46964133990702983,0.6128329669825244,0.4057918871617507,July,grass,-85.18692765,30.87713762,pad9_grass_gps.csv,pad9,38,gx_16_gy_19,16,19,testing,0.03704833984375,0.097930908203125,0.04718017578125,0.201629638671875,0.477020263671875
1134,2977,1455,6102,14794,31275,0.6131370079339542,0.8209120544710661,0.46149180863488065,0.6045634172097853,0.4159647772956387,July,grass,-85.18774647,30.87556371,pad6_grass_gps.csv,pad6,39,gx_8_gy_11,8,11,training,0.03460693359375,0.090850830078125,0.044403076171875,0.18621826171875,0.45147705078125
